country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,,,15/02/2020,3,-1,35,9,0,-1
IT,Italy,,,16/02/2020,3,2,26,11,1,-2
IT,Italy,,,17/02/2020,0,1,7,3,1,0
IT,Italy,,,18/02/2020,3,1,16,4,1,0
IT,Italy,,,19/02/2020,0,-1,11,3,1,0
IT,Italy,,,20/02/2020,2,1,18,5,1,0
IT,Italy,,,21/02/2020,1,1,19,5,0,-1
IT,Italy,,,22/02/2020,-1,3,30,8,0,-1
IT,Italy,,,23/02/2020,-5,16,23,6,1,0
IT,Italy,,,24/02/2020,-4,23,22,-15,-14,4
IT,Italy,,,25/02/2020,-6,5,20,-18,-15,5
IT,Italy,,,26/02/2020,-13,-5,-6,-23,-12,6
IT,Italy,,,27/02/2020,-10,-3,-1,-22,-12,6
IT,Italy,,,28/02/2020,-8,-2,11,-20,-12,5
IT,Italy,,,29/02/2020,-10,-2,2,-16,-9,3
IT,Italy,,,01/03/2020,-19,-5,-30,-26,-5,4
IT,Italy,,,02/03/2020,-13,-7,-26,-25,-9,5
IT,Italy,,,03/03/2020,-7,-1,-9,-21,-8,4
IT,Italy,,,04/03/2020,-7,1,8,-19,-8,4
IT,Italy,,,05/03/2020,-12,0,-12,-28,-16,7
IT,Italy,,,06/03/2020,-15,0,-8,-29,-17,8
IT,Italy,,,07/03/2020,-19,1,2,-24,-15,6
IT,Italy,,,08/03/2020,-32,3,1,-27,-10,6
IT,Italy,,,09/03/2020,-30,-1,-24,-42,-24,11
IT,Italy,,,10/03/2020,-43,-2,-32,-51,-31,16
IT,Italy,,,11/03/2020,-52,-14,-32,-57,-37,19
IT,Italy,,,12/03/2020,-70,-23,-61,-67,-47,24
IT,Italy,,,13/03/2020,-75,-28,-64,-71,-53,28
IT,Italy,,,14/03/2020,-83,-43,-78,-76,-58,25
IT,Italy,,,15/03/2020,-90,-60,-81,-80,-55,22
IT,Italy,,,16/03/2020,-75,-37,-67,-74,-58,27
IT,Italy,,,17/03/2020,-77,-41,-68,-76,-61,29
IT,Italy,,,18/03/2020,-79,-43,-71,-77,-61,30
IT,Italy,,,19/03/2020,-79,-44,-74,-78,-63,31
IT,Italy,,,20/03/2020,-80,-40,-77,-78,-63,32
IT,Italy,,,21/03/2020,-86,-51,-85,-80,-63,26
IT,Italy,,,22/03/2020,-95,-85,-91,-87,-63,24
IT,Italy,,,23/03/2020,-80,-45,-81,-81,-68,32
IT,Italy,,,24/03/2020,-81,-48,-80,-81,-69,32
IT,Italy,,,25/03/2020,-83,-51,-82,-82,-70,34
IT,Italy,,,26/03/2020,-84,-52,-84,-83,-72,35
IT,Italy,,,27/03/2020,-83,-46,-82,-82,-71,36
IT,Italy,,,28/03/2020,-87,-54,-86,-82,-65,27
IT,Italy,,,29/03/2020,-94,-85,-90,-87,-63,24
IT,Italy,,,30/03/2020,-81,-47,-79,-81,-69,32
IT,Italy,,,31/03/2020,-90,-42,-78,-79,-70,33
IT,Italy,,,01/04/2020,-90,-41,-77,-79,-70,33
IT,Italy,,,02/04/2020,-90,-40,-77,-79,-70,34
IT,Italy,,,03/04/2020,-85,-37,-78,-79,-69,35
IT,Italy,,,04/04/2020,-89,-48,-84,-80,-63,27
IT,Italy,,,05/04/2020,-95,-82,-90,-86,-62,24
IT,Italy,,,06/04/2020,-83,-39,-76,-78,-66,31
IT,Italy,,,07/04/2020,-81,-38,-75,-78,-67,31
IT,Italy,,,08/04/2020,-82,-37,-76,-78,-67,31
