country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RO,Romania,Bucharest,,15/02/2020,5,3,-2,7,3,-1
RO,Romania,Bucharest,,16/02/2020,11,8,24,13,3,-3
RO,Romania,Bucharest,,17/02/2020,7,5,-3,6,1,-2
RO,Romania,Bucharest,,18/02/2020,4,5,4,6,3,-2
RO,Romania,Bucharest,,19/02/2020,4,5,-26,4,2,-1
RO,Romania,Bucharest,,20/02/2020,1,3,-18,-2,4,-1
RO,Romania,Bucharest,,21/02/2020,5,8,-2,12,14,-2
RO,Romania,Bucharest,,22/02/2020,1,-4,-6,5,5,-1
RO,Romania,Bucharest,,23/02/2020,3,3,-3,6,3,-3
RO,Romania,Bucharest,,24/02/2020,4,8,-10,4,2,-1
RO,Romania,Bucharest,,25/02/2020,3,14,0,6,3,-1
RO,Romania,Bucharest,,26/02/2020,7,16,9,7,3,-2
RO,Romania,Bucharest,,27/02/2020,-1,5,-16,-4,4,0
RO,Romania,Bucharest,,28/02/2020,2,5,-12,10,14,-1
RO,Romania,Bucharest,,29/02/2020,3,6,4,6,7,0
RO,Romania,Bucharest,,01/03/2020,8,16,36,19,8,-4
RO,Romania,Bucharest,,02/03/2020,1,5,-2,3,3,-1
RO,Romania,Bucharest,,03/03/2020,1,4,9,3,4,-1
RO,Romania,Bucharest,,04/03/2020,5,7,5,6,4,-2
RO,Romania,Bucharest,,05/03/2020,1,4,-12,-1,5,-1
RO,Romania,Bucharest,,06/03/2020,8,6,22,14,16,-2
RO,Romania,Bucharest,,07/03/2020,8,5,65,13,7,-3
RO,Romania,Bucharest,,08/03/2020,6,12,-24,5,4,-3
RO,Romania,Bucharest,,09/03/2020,-5,8,-27,-3,0,1
RO,Romania,Bucharest,,10/03/2020,-7,14,-23,-6,-2,1
RO,Romania,Bucharest,,11/03/2020,-10,32,-20,-14,-14,3
RO,Romania,Bucharest,,12/03/2020,-22,20,-8,-27,-21,7
RO,Romania,Bucharest,,13/03/2020,-30,5,-5,-25,-18,9
RO,Romania,Bucharest,,14/03/2020,-48,-4,-50,-35,-9,8
RO,Romania,Bucharest,,15/03/2020,-55,-3,-68,-45,-13,9
RO,Romania,Bucharest,,16/03/2020,-46,-18,-49,-50,-40,16
RO,Romania,Bucharest,,17/03/2020,-50,-22,-46,-52,-44,18
RO,Romania,Bucharest,,18/03/2020,-52,-18,-47,-53,-46,18
RO,Romania,Bucharest,,19/03/2020,-56,-23,-37,-57,-46,19
RO,Romania,Bucharest,,20/03/2020,-57,-20,-40,-52,-41,19
RO,Romania,Bucharest,,21/03/2020,-66,-25,-37,-50,-26,11
RO,Romania,Bucharest,,22/03/2020,-69,-23,-78,-58,-25,11
RO,Romania,Bucharest,,23/03/2020,-72,-43,-78,-69,-56,25
RO,Romania,Bucharest,,24/03/2020,-71,-33,-76,-68,-58,26
RO,Romania,Bucharest,,25/03/2020,-78,-49,-81,-73,-62,29
RO,Romania,Bucharest,,26/03/2020,-79,-51,-79,-75,-62,30
RO,Romania,Bucharest,,27/03/2020,-78,-45,-77,-70,-57,30
RO,Romania,Bucharest,,28/03/2020,-83,-48,-83,-72,-46,21
RO,Romania,Bucharest,,29/03/2020,-85,-50,-86,-74,-45,18
RO,Romania,Bucharest,,30/03/2020,-74,-43,-78,-71,-62,28
RO,Romania,Bucharest,,31/03/2020,-77,-46,-81,-73,-64,29
RO,Romania,Bucharest,,01/04/2020,-75,-42,-80,-72,-64,28
