country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ES,Spain,Community of Madrid,,15/02/2020,-1,-2,31,7,-1,-2
ES,Spain,Community of Madrid,,16/02/2020,3,4,34,4,0,-2
ES,Spain,Community of Madrid,,17/02/2020,1,3,10,4,4,-1
ES,Spain,Community of Madrid,,18/02/2020,-1,1,11,4,4,-1
ES,Spain,Community of Madrid,,19/02/2020,-1,1,18,2,4,-1
ES,Spain,Community of Madrid,,20/02/2020,-2,1,18,3,3,-1
ES,Spain,Community of Madrid,,21/02/2020,-2,1,22,5,4,-2
ES,Spain,Community of Madrid,,22/02/2020,-3,-1,53,10,1,-2
ES,Spain,Community of Madrid,,23/02/2020,4,6,56,6,2,-4
ES,Spain,Community of Madrid,,24/02/2020,4,6,35,6,4,-2
ES,Spain,Community of Madrid,,25/02/2020,-2,6,15,4,4,-1
ES,Spain,Community of Madrid,,26/02/2020,2,6,17,3,4,-1
ES,Spain,Community of Madrid,,27/02/2020,4,6,22,6,3,-2
ES,Spain,Community of Madrid,,28/02/2020,0,3,29,1,-12,0
ES,Spain,Community of Madrid,,29/02/2020,-9,-1,-6,-3,-2,-1
ES,Spain,Community of Madrid,,01/03/2020,-4,1,-18,-4,1,-2
ES,Spain,Community of Madrid,,02/03/2020,0,2,-13,-5,-15,1
ES,Spain,Community of Madrid,,03/03/2020,-6,4,-6,0,3,-1
ES,Spain,Community of Madrid,,04/03/2020,-2,5,10,1,3,-1
ES,Spain,Community of Madrid,,05/03/2020,-4,3,-5,-2,3,0
ES,Spain,Community of Madrid,,06/03/2020,-4,4,-3,-1,1,0
ES,Spain,Community of Madrid,,07/03/2020,-4,1,17,2,-1,-1
ES,Spain,Community of Madrid,,08/03/2020,-1,5,24,2,-1,-1
ES,Spain,Community of Madrid,,09/03/2020,-1,13,19,0,1,-1
ES,Spain,Community of Madrid,,10/03/2020,-7,46,15,-7,-1,0
ES,Spain,Community of Madrid,,11/03/2020,-16,22,25,-21,-21,8
ES,Spain,Community of Madrid,,12/03/2020,-32,22,-1,-33,-28,12
ES,Spain,Community of Madrid,,13/03/2020,-47,29,-33,-46,-37,17
ES,Spain,Community of Madrid,,14/03/2020,-82,-15,-56,-65,-46,18
ES,Spain,Community of Madrid,,15/03/2020,-89,-42,-83,-77,-53,19
ES,Spain,Community of Madrid,,16/03/2020,-82,-35,-80,-75,-65,29
ES,Spain,Community of Madrid,,17/03/2020,-85,-38,-82,-79,-69,31
ES,Spain,Community of Madrid,,18/03/2020,-86,-39,-82,-81,-71,33
ES,Spain,Community of Madrid,,19/03/2020,-87,-41,-83,-82,-73,35
ES,Spain,Community of Madrid,,20/03/2020,-89,-43,-86,-83,-73,38
ES,Spain,Community of Madrid,,21/03/2020,-93,-55,-92,-87,-66,26
ES,Spain,Community of Madrid,,22/03/2020,-93,-66,-92,-88,-66,23
ES,Spain,Community of Madrid,,23/03/2020,-86,-47,-85,-83,-75,33
ES,Spain,Community of Madrid,,24/03/2020,-88,-50,-86,-84,-76,35
ES,Spain,Community of Madrid,,25/03/2020,-89,-52,-86,-85,-77,36
ES,Spain,Community of Madrid,,26/03/2020,-89,-52,-86,-85,-77,37
ES,Spain,Community of Madrid,,27/03/2020,-90,-51,-88,-86,-77,40
ES,Spain,Community of Madrid,,28/03/2020,-93,-57,-91,-87,-68,27
ES,Spain,Community of Madrid,,29/03/2020,-94,-72,-92,-89,-65,22
ES,Spain,Community of Madrid,,30/03/2020,-89,-56,-88,-87,-82,36
ES,Spain,Community of Madrid,,31/03/2020,-92,-59,-89,-88,-83,37
ES,Spain,Community of Madrid,,01/04/2020,-91,-51,-87,-87,-83,38
ES,Spain,Community of Madrid,,02/04/2020,-91,-51,-87,-87,-83,39
ES,Spain,Community of Madrid,,03/04/2020,-90,-49,-88,-87,-82,41
ES,Spain,Community of Madrid,,04/04/2020,-93,-56,-91,-88,-69,27
ES,Spain,Community of Madrid,,05/04/2020,-94,-73,-92,-90,-69,23
ES,Spain,Community of Madrid,,06/04/2020,-88,-50,-86,-86,-82,36
ES,Spain,Community of Madrid,,07/04/2020,-91,-36,-86,-86,-82,36
ES,Spain,Community of Madrid,,08/04/2020,-90,-25,-84,-85,-82,36
ES,Spain,Community of Madrid,,09/04/2020,-95,-78,-91,-92,-92,43
ES,Spain,Community of Madrid,,10/04/2020,-96,-86,-92,-93,-92,46
ES,Spain,Community of Madrid,,11/04/2020,-94,-45,-90,-87,-68,27
ES,Spain,Community of Madrid,,12/04/2020,-96,-69,-91,-90,-68,23
ES,Spain,Community of Madrid,,13/04/2020,-90,-44,-83,-84,-78,35
ES,Spain,Community of Madrid,,14/04/2020,-91,-44,-84,-84,-77,35
ES,Spain,Community of Madrid,,15/04/2020,-91,-48,-85,-84,-77,36
ES,Spain,Community of Madrid,,16/04/2020,-90,-45,-84,-84,-77,37
ES,Spain,Community of Madrid,,17/04/2020,-91,-44,-85,-84,-76,39
ES,Spain,Community of Madrid,,18/04/2020,-94,-56,-90,-86,-66,26
ES,Spain,Community of Madrid,,19/04/2020,-95,-70,-91,-89,-67,23
ES,Spain,Community of Madrid,,20/04/2020,-89,-54,-81,-82,-75,34
ES,Spain,Community of Madrid,,21/04/2020,-90,-53,-83,-83,-76,35
ES,Spain,Community of Madrid,,22/04/2020,-90,-51,-82,-83,-75,35
ES,Spain,Community of Madrid,,23/04/2020,-90,-51,-82,-83,-75,36
ES,Spain,Community of Madrid,,24/04/2020,-91,-49,-83,-83,-74,38
ES,Spain,Community of Madrid,,25/04/2020,-93,-54,-88,-85,-65,26
ES,Spain,Community of Madrid,,26/04/2020,-93,-62,-76,-84,-65,22
ES,Spain,Community of Madrid,,27/04/2020,-88,-51,-70,-80,-73,33
ES,Spain,Community of Madrid,,28/04/2020,-88,-47,-71,-80,-74,32
ES,Spain,Community of Madrid,,29/04/2020,-88,-41,-71,-80,-73,34
ES,Spain,Community of Madrid,,30/04/2020,-86,-29,-70,-79,-73,34
ES,Spain,Community of Madrid,,01/05/2020,-95,-87,-77,-89,-91,45
ES,Spain,Community of Madrid,,02/05/2020,-88,-42,-45,-69,-64,23
ES,Spain,Community of Madrid,,03/05/2020,-86,,-41,-69,-57,19
ES,Spain,Community of Madrid,,04/05/2020,-79,-33,-32,-68,-69,29
ES,Spain,Community of Madrid,,05/05/2020,-80,-32,-33,-69,-69,30
ES,Spain,Community of Madrid,,06/05/2020,-81,-33,-33,-68,-69,30
ES,Spain,Community of Madrid,,07/05/2020,-81,-34,-37,-70,-69,31
ES,Spain,Community of Madrid,,08/05/2020,-83,-34,-36,-69,-68,33
ES,Spain,Community of Madrid,,09/05/2020,-87,-39,-44,-67,-54,22
ES,Spain,Community of Madrid,,10/05/2020,-88,-54,-47,-72,-56,20
ES,Spain,Community of Madrid,,11/05/2020,-77,-28,-37,-67,-65,28
ES,Spain,Community of Madrid,,12/05/2020,-82,-34,-66,-73,-66,30
ES,Spain,Community of Madrid,,13/05/2020,-79,-24,-35,-67,-65,29
ES,Spain,Community of Madrid,,14/05/2020,-80,-26,-50,-70,-67,29
ES,Spain,Community of Madrid,,15/05/2020,-86,-51,-57,-78,-80,38
ES,Spain,Community of Madrid,,16/05/2020,-84,-32,-46,-66,-51,22
ES,Spain,Community of Madrid,,17/05/2020,-85,-47,-28,-65,-51,19
ES,Spain,Community of Madrid,,18/05/2020,-71,-24,-12,-61,-62,26
ES,Spain,Community of Madrid,,19/05/2020,-73,-25,-16,-62,-63,27
ES,Spain,Community of Madrid,,20/05/2020,-73,-24,-18,-62,-63,28
ES,Spain,Community of Madrid,,21/05/2020,-73,-22,-21,-63,-63,28
ES,Spain,Community of Madrid,,22/05/2020,-76,-26,-28,-64,-61,30
ES,Spain,Community of Madrid,,23/05/2020,-80,-30,-33,-60,-42,20
ES,Spain,Community of Madrid,,24/05/2020,-82,-40,-30,-64,-44,18
ES,Spain,Community of Madrid,,25/05/2020,-54,-18,0,-53,-58,21
